time,total_precipitation,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,2m_temperature,surface_solar_radiation_downwards,evaporation,specific_humidity,level,LAI
2012-09-30,7.107723450142857e-07,0.13983912571428572,0.2157523642857143,293.83703,862514.5514285715,-4.1332404428571426e-05,0.005803760985714286,1000.0,1.1326549
2012-10-07,1.4723766614285714e-08,0.13850970285714287,0.21289007142857144,293.15752857142854,798633.7714285714,-3.532481357142857e-05,0.0055205341428571425,1000.0,1.0951295
2012-10-21,1.3625658935857143e-06,0.1570149742857143,0.2047983157142857,290.2989942857143,685617.6485714286,-2.687979057142857e-05,0.006300190371428572,1000.0,1.054389
2012-10-28,0.00014910901219355714,0.23658713,0.22414878714285713,282.88062,504046.9428571428,-3.403910514285714e-05,0.004858724428571429,1000.0,0.9958546
2012-11-04,3.2757822833642854e-05,0.23684855285714287,0.24885263714285716,286.12541571428574,528595.3314285714,-3.123251757142857e-05,0.005771537685714286,1000.0,0.949749
2012-11-11,6.0728750772014285e-05,0.23194349428571429,0.25169254428571425,282.4124171428571,509273.46428571426,-3.1079064714285714e-05,0.0043848208000000005,1000.0,0.9019421
2012-11-18,0.00020734546464914284,0.2726723714285714,0.26746445714285716,281.1858342857143,391346.5085714286,-2.9578945428571426e-05,0.0044702407714285715,1000.0,0.86836904
2012-11-25,5.7138636429571425e-05,0.3127023442857143,0.30776237142857144,281.9209757142857,410965.43,-3.0213824e-05,0.0053054098,1000.0,0.8487247
2012-12-02,0.0006564925078109999,0.34357775571428567,0.3257521114285714,282.84817857142855,213739.99057142856,-3.097806057142858e-05,0.0062183200142857135,1000.0,0.8302394
2012-12-16,7.789077314857144e-05,0.38086254999999997,0.3720449828571429,276.9599942857143,310970.4714285714,-2.665546442857143e-05,0.004092495785714286,1000.0,0.8128983
2012-12-23,0.00041368890159,0.38964839571428567,0.3752613757142857,276.9091257142857,271651.88714285713,-3.241423257142857e-05,0.0037730459428571427,1000.0,0.7734922
